"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
1,1,31,"F",3,"R1","Tuesday","yes",4,2,"1",0,0,2,2,0,3,0,0,1,2,0,1,0,3,0
2,2,49,"F",3,"R1","Tuesday","yes",6,4,"3",0,0,3,3,0,2,0,0,2,0,0,1,0,3,2
3,3,63,"F",1,"R1","Tuesday","no",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,4,57,"M",3,"R1","Tuesday","yes",83,2,"1",0,80,3,0,0,83,0,80,3,0,0,1,0,82,0
5,5,51,"M",3,"R1","Wednesday","yes",5,2,"1",0,0,1,4,0,0,0,0,0,0,0,0,0,3,2
6,6,22,"F",3,"R1","Wednesday","no",7,3,"2",0,0,7,0,0,4,0,0,4,0,0,0,4,0,3
7,7,22,"F",2,"R1","Wednesday","yes",20,1,"0",0,0,18,12,0,10,0,0,8,2,0,0,0,20,0
8,8,25,"M",3,"R1","Thursday","yes",23,3,"2",0,0,20,3,0,0,0,0,0,0,0,2,0,20,1
9,9,71,"F",2,"R1","Thursday","yes",2,2,"1",0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
10,10,51,"M",1,"R1","Thursday","yes",3,1,"0",0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
11,11,78,"M",4,"R1","Thursday","yes",2,2,"1",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
12,12,56,"F",3,"R1","Thursday","no",7,5,"4",0,0,2,5,0,1,0,0,0,1,0,1,0,0,6
13,13,22,"M",3,"R1","Friday","yes",18,2,"1",0,0,14,4,0,4,0,0,0,4,0,3,0,15,0
14,14,58,"F",3,"R1","Friday","yes",3,2,"1",0,0,0,3,0,0,0,0,0,0,0,1,0,0,2
15,15,29,"F",2,"R1","Friday","no",6,2,"1",0,0,4,1,1,0,0,0,0,0,0,2,0,4,0
16,16,61,"M",3,"R1","Friday","yes",4,2,"1",0,0,0,1,3,0,0,0,0,0,0,1,0,0,3
17,17,61,"M",3,"R1","Saturday","yes",4,2,"1",0,0,1,3,0,3,0,0,0,3,0,2,0,0,2
18,18,49,"M",3,"R1","Saturday","no",7,3,"2",0,2,1,3,1,2,0,1,0,0,1,1,0,0,6
19,19,NA,"F",1,"R1","Sunday","no",30,1,"0",0,0,0,0,30,30,0,0,0,0,30,0,0,30,0
20,20,48,"M",2,"R1","Sunday","yes",4,4,"3",0,0,1,3,0,1,0,0,0,1,0,1,0,0,3
21,21,29,"F",3,"R1","Sunday","no",9,2,"1",1,2,3,3,0,4,1,2,0,1,0,4,0,0,9
22,22,38,"F",3,"R1","Sunday","yes",32,5,"4",0,2,29,1,0,3,0,2,0,1,0,3,0,0,29
23,23,49,"F",3,"R1","Monday","yes",8,2,"1",0,0,5,1,2,0,0,0,0,0,0,3,0,0,5
24,24,43,"F",2,"R1","Monday","yes",12,4,"3",1,2,0,9,0,4,1,2,0,1,0,3,0,8,2
25,25,46,"F",1,"R1","Monday","yes",3,1,"0",0,0,1,2,0,0,0,0,0,0,0,0,0,3,0
26,26,21,"F",3,"R1","Monday","no",3,3,"2",0,0,2,1,0,1,0,0,0,1,0,1,0,0,2
27,27,21,"M",4,"R1","Sunday","no",4,2,"1",0,1,1,2,0,3,0,0,1,2,0,3,0,0,1
28,28,30,"F",3,"R1","Sunday","yes",6,6,"5",0,1,1,4,0,2,0,0,1,1,0,2,0,0,6
29,29,49,"M",4,"R1","Monday","yes",6,2,"1",0,1,1,4,0,2,0,1,1,0,0,2,0,4,0
30,30,47,"F",4,"R1","Monday","yes",7,3,"2",0,0,2,5,0,0,0,0,0,0,0,0,0,3,5
31,31,54,"M",2,"R1","Tuesday","yes",4,2,"1",0,0,1,2,1,1,0,0,0,1,0,3,0,1,0
32,32,64,"F",4,"R1","Tuesday","yes",17,3,"2",0,0,0,0,17,1,0,0,0,0,1,0,0,0,17
33,33,59,"M",3,"R1","Tuesday","no",6,4,"3",0,0,1,5,0,6,0,0,1,5,0,0,0,0,6
34,34,65,"M",4,"R1","Wednesday","yes",2,2,"1",0,0,0,2,0,1,0,0,0,1,0,2,0,0,0
35,35,50,"M",4,"R1","Wednesday","yes",16,1,"0",0,0,12,16,0,12,0,0,4,8,0,0,0,16,0
36,36,57,"M",1,"R1","Thursday","yes",2,2,"1",0,0,0,2,0,1,0,0,0,1,0,1,0,0,1
37,37,37,"F",4,"R1","Thursday","yes",4,2,"1",0,2,0,2,0,4,0,2,0,2,0,3,0,0,1
38,38,28,"F",3,"R1","Thursday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,"M",4,"R1","Friday","no",11,3,"2",1,0,9,5,0,6,1,0,5,0,0,3,0,0,11
40,40,54,"M",4,"R1","Friday","yes",19,3,"2",0,0,16,18,0,0,0,0,0,0,0,1,0,18,0
41,41,44,"F",4,"R1","Friday","no",18,3,"2",0,2,1,15,0,3,0,2,0,1,0,6,0,10,2
42,42,74,"M",2,"R1","Saturday","no",1,4,"3",0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
43,43,56,"F",2,"R1","Saturday","yes",4,2,"1",0,0,2,2,0,0,0,0,0,0,0,3,0,0,1
44,44,58,"F",1,"R1","Sunday","yes",2,1,"0",0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
45,45,70,"M",1,"R1","Sunday","yes",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,46,19,"M",3,"R1","Sunday","yes",4,1,"0",0,1,1,2,0,0,0,0,0,0,0,4,0,0,0
47,47,44,"F",1,"R1","Sunday","yes",63,2,"1",1,60,0,2,0,61,1,60,0,0,0,3,0,60,0
48,48,64,"M",3,"R1","Monday","yes",3,2,"1",0,0,0,2,1,1,0,0,0,0,1,1,0,2,0
49,49,57,"F",4,"R1","Monday","yes",18,2,"1",0,0,12,16,0,0,0,0,0,0,0,3,0,15,0
50,50,48,"F",4,"R1","Monday","yes",8,3,"2",0,2,0,6,0,2,0,2,0,0,0,3,0,5,2
51,51,55,"F",4,"R1","Monday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
52,52,47,"F",3,"R1","Tuesday","no",10,3,"2",0,2,4,3,1,2,0,2,0,0,0,5,0,5,0
53,53,43,"M",4,"R1","Tuesday","yes",6,4,"3",0,1,3,2,0,0,0,0,0,0,0,2,0,4,0
54,54,28,"F",1,"R1","Tuesday","yes",12,3,"2",0,0,7,4,1,4,0,0,3,1,0,0,0,10,2
55,55,71,"F",4,"R1","Tuesday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,74,"F",4,"R1","Tuesday","yes",2,2,"1",0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
57,57,59,"M",3,"R1","Tuesday","yes",32,10,"6+",0,13,5,6,8,4,0,2,0,1,1,4,0,15,16
58,58,23,"M",4,"R1","Tuesday","yes",4,1,"0",0,0,2,2,0,0,0,0,0,0,0,4,0,0,0
59,59,41,"M",1,"R1","Tuesday","yes",20,3,"2",0,1,17,16,1,1,0,1,0,0,0,5,0,15,0
60,60,67,"M",1,"R1","Wednesday","yes",4,5,"4",0,1,0,1,2,1,0,1,0,0,0,2,0,0,3
61,61,26,"F",4,"R1","Wednesday","yes",10,5,"4",0,0,8,2,0,1,0,0,0,1,0,1,0,6,3
62,62,39,"F",1,"R1","Wednesday","yes",4,2,"1",0,1,0,3,0,1,0,1,0,0,0,1,0,3,0
63,63,61,"M",4,"R1","Wednesday","yes",11,2,"1",0,9,1,1,0,2,0,0,1,1,0,2,0,0,9
64,64,22,"F",2,"R1","Thursday","no",12,4,"3",0,0,9,3,0,0,0,0,0,0,0,2,0,2,8
65,65,18,"F",4,"R1","Thursday","yes",5,4,"3",0,0,2,3,0,2,0,0,0,2,0,3,0,0,2
66,66,51,"F",3,"R1","Thursday","yes",6,3,"2",0,0,1,4,1,2,0,0,1,0,1,1,0,0,5
67,67,77,"M",4,"R1","Thursday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,20,"F",2,"R1","Thursday","yes",3,1,"0",0,1,0,2,0,3,0,1,0,2,0,3,0,0,0
69,69,56,"F",1,"R1","Friday","no",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
70,70,21,"F",2,"R1","Friday","no",17,3,"2",0,4,9,2,2,11,0,4,3,2,2,2,2,10,3
71,71,58,"M",3,"R1","Friday","no",7,4,"3",0,1,5,1,0,4,0,0,3,1,0,1,0,0,7
72,72,50,"M",4,"R1","Friday","yes",12,5,"4",0,1,3,8,0,5,0,1,0,4,0,3,0,8,2
73,73,63,"F",2,"R1","Friday","yes",20,3,"2",0,0,0,19,16,19,0,0,0,9,10,1,0,0,19
74,74,52,"F",3,"R1","Saturday","no",15,2,"1",0,0,4,11,0,1,0,0,1,0,0,2,0,0,13
75,75,58,"F",3,"R1","Saturday","no",19,4,"3",12,12,15,12,12,17,3,3,6,2,3,5,0,0,14
76,76,59,"F",3,"R1","Saturday","yes",4,2,"1",0,0,3,1,0,1,0,0,0,1,0,1,0,0,3
77,77,77,"M",2,"R1","Saturday","no",3,1,"0",0,0,2,1,0,1,0,0,0,1,0,3,0,0,0
78,78,53,"F",3,"R1","Saturday","yes",3,2,"1",1,0,0,2,0,1,1,0,0,0,0,1,0,0,3
79,79,27,"F",3,"R1","Sunday","yes",8,3,"2",0,0,6,2,0,5,0,0,5,0,0,3,0,0,5
80,80,53,"F",4,"R1","Sunday","yes",4,4,"3",0,0,3,1,0,2,0,0,1,1,0,1,0,0,3
81,81,52,"F",4,"R1","Sunday","yes",3,3,"2",0,1,1,1,0,0,0,0,0,0,0,3,0,0,0
82,82,51,"F",4,"R1","Sunday","no",2,1,"0",0,0,0,0,2,2,0,0,0,0,2,2,0,0,0
83,83,63,"F",4,"R1","Sunday","yes",3,2,"1",0,0,0,1,2,0,0,0,0,0,0,1,0,0,2
84,84,36,"F",3,"R1","Sunday","yes",4,2,"1",0,0,2,1,1,0,0,0,0,0,0,4,0,0,0
85,85,17,"F",3,"R1","Sunday","yes",15,4,"3",0,7,5,3,0,11,0,4,4,3,0,2,0,0,13
86,85,44,"F",1,"R1","Sunday","no",28,4,"3",0,22,25,27,21,5,0,1,1,2,1,2,0,0,27
87,85,45,"M",3,"R1","Sunday","yes",32,3,"2",0,23,30,31,0,2,0,1,0,1,0,2,0,0,30
88,86,47,"F",3,"R1","Sunday","yes",62,6,"5",40,42,52,56,41,31,3,3,9,14,2,1,0,1,61
89,87,54,"F",2,"R1","Sunday","yes",31,2,"1",0,0,30,31,12,0,0,0,0,0,0,1,0,30,0
90,88,54,"F",3,"R1","Sunday","yes",3,2,"1",0,0,2,1,0,1,0,0,0,1,0,2,0,0,2
91,88,58,"M",4,"R1","Sunday","yes",203,3,"2",200,200,201,202,200,201,30,20,50,51,50,2,0,200,1
